"","Country.Region","date","confirmed","deaths","recovered","confirmed_growth_rate","death_growth_rate","recovered_growth_rate","death_rate","recovered_rate","conf_growth_rate_ma","death_growth_rate_ma","recovered_growth_rate_ma","diff_confirmed","diff_deaths","diff_recovered"
"Australia-2020-01-22","Australia","2020-01-22",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia-2020-01-23","Australia","2020-01-23",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-01-24","Australia","2020-01-24",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-01-25","Australia","2020-01-25",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-01-26","Australia","2020-01-26",4,0,0,Inf,0,0,NA,NA,NA,NA,NA,4,0,0
"Australia-2020-01-27","Australia","2020-01-27",5,0,0,0.25,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-01-28","Australia","2020-01-28",5,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-01-29","Australia","2020-01-29",6,0,0,0.2,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-01-30","Australia","2020-01-30",9,0,2,0.5,0,Inf,NA,NA,NA,NA,NA,3,0,2
"Australia-2020-01-31","Australia","2020-01-31",9,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-01","Australia","2020-02-01",12,0,2,0.333333333333333,0,0,NA,NA,NA,NA,NA,3,0,0
"Australia-2020-02-02","Australia","2020-02-02",12,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-03","Australia","2020-02-03",12,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-04","Australia","2020-02-04",13,0,2,0.0833333333333333,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-02-05","Australia","2020-02-05",13,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-06","Australia","2020-02-06",14,0,2,0.0769230769230769,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-02-07","Australia","2020-02-07",15,0,2,0.0714285714285714,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-02-08","Australia","2020-02-08",15,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-09","Australia","2020-02-09",15,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-10","Australia","2020-02-10",15,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-11","Australia","2020-02-11",15,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-12","Australia","2020-02-12",15,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-13","Australia","2020-02-13",15,0,8,0,0,3,NA,NA,NA,NA,NA,0,0,6
"Australia-2020-02-14","Australia","2020-02-14",15,0,8,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-15","Australia","2020-02-15",15,0,8,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-16","Australia","2020-02-16",15,0,8,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-17","Australia","2020-02-17",15,0,10,0,0,0.25,NA,NA,NA,NA,NA,0,0,2
"Australia-2020-02-18","Australia","2020-02-18",15,0,10,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-19","Australia","2020-02-19",15,0,10,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-20","Australia","2020-02-20",15,0,10,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-21","Australia","2020-02-21",19,0,11,0.266666666666667,0,0.1,NA,NA,NA,NA,NA,4,0,1
"Australia-2020-02-22","Australia","2020-02-22",22,0,11,0.157894736842105,0,0,NA,NA,NA,NA,NA,3,0,0
"Australia-2020-02-23","Australia","2020-02-23",22,0,11,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-24","Australia","2020-02-24",22,0,11,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-25","Australia","2020-02-25",22,0,11,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-26","Australia","2020-02-26",22,0,11,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Australia-2020-02-27","Australia","2020-02-27",23,0,11,0.0454545454545455,0,0,NA,NA,NA,NA,NA,1,0,0
"Australia-2020-02-28","Australia","2020-02-28",23,0,11,0,0,0,NA,NA,NA,NA,NA,0,0,0
