"","Province.State","date","confirmed","deaths","recovered","confirmed_growth_rate","death_growth_rate","recovered_growth_rate","death_rate","recovered_rate","conf_growth_rate_ma","death_growth_rate_ma","recovered_growth_rate_ma","diff_confirmed","diff_deaths","diff_recovered"
"Alabama-2020-01-22","Alabama","2020-01-22",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama-2020-01-23","Alabama","2020-01-23",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-24","Alabama","2020-01-24",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-25","Alabama","2020-01-25",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-26","Alabama","2020-01-26",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-27","Alabama","2020-01-27",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-28","Alabama","2020-01-28",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-29","Alabama","2020-01-29",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-30","Alabama","2020-01-30",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-01-31","Alabama","2020-01-31",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-01","Alabama","2020-02-01",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-02","Alabama","2020-02-02",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-03","Alabama","2020-02-03",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-04","Alabama","2020-02-04",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-05","Alabama","2020-02-05",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-06","Alabama","2020-02-06",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-07","Alabama","2020-02-07",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-08","Alabama","2020-02-08",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-09","Alabama","2020-02-09",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-10","Alabama","2020-02-10",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-11","Alabama","2020-02-11",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-12","Alabama","2020-02-12",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-13","Alabama","2020-02-13",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-14","Alabama","2020-02-14",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-15","Alabama","2020-02-15",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-16","Alabama","2020-02-16",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-17","Alabama","2020-02-17",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-18","Alabama","2020-02-18",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-19","Alabama","2020-02-19",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-20","Alabama","2020-02-20",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-21","Alabama","2020-02-21",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-22","Alabama","2020-02-22",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-23","Alabama","2020-02-23",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-24","Alabama","2020-02-24",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-25","Alabama","2020-02-25",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-26","Alabama","2020-02-26",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-27","Alabama","2020-02-27",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-28","Alabama","2020-02-28",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-02-29","Alabama","2020-02-29",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-01","Alabama","2020-03-01",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-02","Alabama","2020-03-02",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-03","Alabama","2020-03-03",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-04","Alabama","2020-03-04",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-05","Alabama","2020-03-05",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-06","Alabama","2020-03-06",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-07","Alabama","2020-03-07",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-08","Alabama","2020-03-08",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-09","Alabama","2020-03-09",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-10","Alabama","2020-03-10",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-11","Alabama","2020-03-11",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-12","Alabama","2020-03-12",0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0
"Alabama-2020-03-13","Alabama","2020-03-13",5,0,0,1,0,0,NA,NA,NA,NA,NA,5,0,0
"Alabama-2020-03-14","Alabama","2020-03-14",6,0,0,0.166666666666667,0,0,NA,NA,NA,NA,NA,1,0,0
"Alabama-2020-03-15","Alabama","2020-03-15",12,0,0,0.5,0,0,NA,NA,NA,NA,NA,6,0,0
"Alabama-2020-03-16","Alabama","2020-03-16",29,0,0,0.586206896551724,0,0,NA,NA,NA,NA,NA,17,0,0
"Alabama-2020-03-17","Alabama","2020-03-17",39,0,0,0.256410256410256,0,0,NA,NA,NA,NA,NA,10,0,0
"Alabama-2020-03-18","Alabama","2020-03-18",46,0,0,0.152173913043478,0,0,NA,NA,NA,NA,NA,7,0,0
"Alabama-2020-03-19","Alabama","2020-03-19",78,0,0,0.41025641025641,0,0,NA,NA,NA,NA,NA,32,0,0
"Alabama-2020-03-20","Alabama","2020-03-20",83,0,0,0.0602409638554217,0,0,NA,NA,NA,NA,NA,5,0,0
