"","state","ages","year","population"
"1","AL","total",2013,4833722
"2","AK","total",2013,735132
"3","AZ","total",2013,6626624
"4","AR","total",2013,2959373
"5","CA","total",2013,38332521
"6","CO","total",2013,5268367
"7","CT","total",2013,3596080
"8","DE","total",2013,925749
"9","DC","total",2013,646449
"10","FL","total",2013,19552860
"11","GA","total",2013,9992167
"12","HI","total",2013,1404054
"13","ID","total",2013,1612136
"14","IL","total",2013,12882135
"15","IN","total",2013,6570902
"16","IA","total",2013,3090416
"17","KS","total",2013,2893957
"18","KY","total",2013,4395295
"19","LA","total",2013,4625470
"20","ME","total",2013,1328302
"21","MD","total",2013,5928814
"22","MA","total",2013,6692824
"23","MI","total",2013,9895622
"24","MN","total",2013,5420380
"25","MS","total",2013,2991207
"26","MO","total",2013,6044171
"27","MT","total",2013,1015165
"28","NE","total",2013,1868516
"29","NV","total",2013,2790136
"30","NH","total",2013,1323459
"31","NJ","total",2013,8899339
"32","NM","total",2013,2085287
"33","NY","total",2013,19651127
"34","NC","total",2013,9848060
"35","ND","total",2013,723393
"36","OH","total",2013,11570808
"37","OK","total",2013,3850568
"38","OR","total",2013,3930065
"39","PA","total",2013,12773801
"40","RI","total",2013,1051511
"41","SC","total",2013,4774839
"42","SD","total",2013,844877
"43","TN","total",2013,6495978
"44","TX","total",2013,26448193
"45","UT","total",2013,2900872
"46","VT","total",2013,626630
"47","VA","total",2013,8260405
"48","WA","total",2013,6971406
"49","WV","total",2013,1854304
"50","WI","total",2013,5742713
"51","WY","total",2013,582658
"52","PR","total",2013,3615086
"53","USA","total",2013,316128839
